ID	Project Id	ProjectName	TaskName	EstimatedEffortHours	Dependencies	Progress	InternalID
1	1	Project A	Design UI	100		50	1234
2	1	Project A	Implement Backend	55			1235
3	1	Project A	Testing	15			123
4	2	Project B	Database Setup	60			1327
5	2	Project B	API Development	50			1236
6	3	Project C	Database Setup	30			35413
7	3	Project C	UI Development	56			4654
8	4	Project D	Backend Analysis	47			3135
9	4	Project D	Database Setup	75			1314
10	4	Project D	Implement Backend	45			13486
11	4	Project D	UI Development	46			1314
12	4	Project D	Testing	47			13486
